Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
A2ZINFRA,EQ,14.18,-0.49,249.74,1.04,0.15
NV20BEES,EQ,154.6,0.39,157.15,0.1,0.15
QUICKTOUCH,SM,37.55,4.89,48.12,0.4,0.15
NIF100IETF,EQ,29.15,-0.1,156.12,0.5,0.15
CHAVDA,SM,113,3.91,278.61,0.13,0.15
TARAPUR,EQ,28.67,-4.21,55.91,0.48,0.15
ESCONET,SM,120,-3.34,158.35,0.12,0.14
ITADD,EQ,37.5,-1.52,41.32,0.39,0.14
BCONCEPTS,EQ,298.9,5.25,373.08,0.05,0.14
574GS2026,GS,100.58,-1,81469.8,0.14,0.14
PFCL36,N7,51100,0.74,261.48,0,0.14
AERONEU,EQ,72.65,1.45,187.41,0.2,0.14
SADBHAV,BE,6.1,-4.09,104.66,2.34,0.14
MANAKSIA,EQ,64,-1.84,419.42,0.22,0.14
SURANAT&P,EQ,17.63,-1.78,239.34,0.8,0.14
IWARE,ST,236.5,2.63,253.43,0.06,0.14
ESG,EQ,43.7,0.05,112.59,0.32,0.14
HRHNEXT,SM,28.45,4.98,37.57,0.53,0.14
ARCIIL,SM,57.5,-7.26,59.21,0.25,0.14
AVONMORE,EQ,14.5,-1.43,409.17,0.96,0.14
TIPSFILMS,EQ,390,4.42,168.59,0.04,0.14
LANCORHOL,BE,29.9,3.6,219.92,0.47,0.14
LFIC,EQ,153,0.58,45.9,0.1,0.14
BALAXI,EQ,22.9,-0.56,126.43,0.61,0.14
NIFTYQLITY,EQ,21.71,0.42,27.15,0.65,0.14
M&MFIN,N3,2289.9,1.1,61.73,0.01,0.14
GROWWNXT50,EQ,68.69,-0.72,7.45,0.2,0.14
ATMASTCO,SM,144,-0.31,356.18,0.1,0.14
KLL,SM,42.4,-0.47,78.57,0.32,0.14
ACCPL,ST,66.55,-4.38,73.98,0.2,0.14
IMPAL,EQ,1062,-0.84,1325.38,0.01,0.14
SPECIALITY,EQ,110.9,-0.18,534.93,0.12,0.14
AMJLAND,EQ,40.69,0.94,166.83,0.34,0.14
VICTORYEV,SM,22,0.23,53,0.63,0.14
BSHSL,EQ,92.2,2.39,967.52,0.15,0.13
FIBERWEB,EQ,41,-0.29,118.05,0.33,0.13
892PFCL33,N8,1234.99,-0.08,1064.51,0.01,0.13
SGBJAN30IX,GB,15650,-1.02,3651.44,0,0.13
875NHAI29,N6,1174,0.03,1396.83,0.01,0.13
